X	Y	M11	M22
-4.93	-6.82	-106.41	197.14
-4.93	-7.42	-125.49	213.80
-4.93	-8.09	-132.74	157.50
-4.93	-8.69	-109.00	47.10
-4.93	-9.29	-91.80	-119.34
-4.93	-9.89	-81.37	-175.24
-4.93	-10.49	-69.37	-201.56
-4.93	-11.09	-53.21	-199.29
-4.93	-11.69	-55.39	-191.25
-4.93	-12.29	-56.51	-154.64
-4.93	-12.89	-64.04	-83.36
-4.93	-13.49	-82.55	132.49
-4.93	-14.38	-59.60	216.99
-4.93	-14.69	-43.36	197.47
-4.93	-15.29	-35.35	159.42
-4.93	-15.89	-19.98	81.29
-4.33	0	-124.74	76.59
-4.33	0.61	-108.27	-38.58
-4.33	-0.47	-145.94	146.76
-4.33	-0.89	-158.04	128.45
-4.33	-1.49	-98.59	48.08
-4.33	-2.09	-97.75	-110.32
-4.33	-2.69	-95.66	-166.48
-4.33	-3.29	-87.12	-189.22
-4.33	-3.89	-72.99	-176.76
-4.33	-4.49	-53.88	-121.65
-4.33	-5.09	59.19	103.75
-4.33	-5.43	-41.93	113.88
-4.33	-6.29	52.77	155.28
-4.33	-6.82	35.85	203.99
-4.33	-7.42	-84.24	271.58
-4.33	-8.09	74.16	202.42
-4.33	-8.69	-78.46	-64.70
-4.33	-9.29	-80.47	-138.92
-4.33	-9.89	-76.15	-192.49
-4.33	-10.49	-65.47	-219.23
-4.33	-11.09	-47.42	-217.32
-4.33	-11.69	-32.41	-197.44
-4.33	-12.29	-24.43	-163.31
-4.33	-12.89	76.15	-107.64
-4.33	-13.49	164.26	174.31
-4.33	-14.38	22.14	308.56
-4.33	-14.69	120.57	329.21
-4.33	-15.29	116.49	170.25
-4.33	-15.89	62.10	70.66
-3.6	0	-87.63	58.18
-3.6	0.61	-110.35	-53.40
-3.6	-0.47	-31.83	95.52
-3.6	-0.89	116.73	248.80
-3.6	-1.49	-40.91	-30.51
-3.6	-2.09	-61.16	-94.45
-3.6	-2.69	-55.97	-147.62
-3.6	-3.29	-40.38	-170.02
-3.6	-3.89	34.05	-154.58
-3.6	-4.49	81.84	-93.10
-3.6	-5.09	186.44	79.37
-3.6	-5.43	304.16	316.87
-3.6	-6.29	129.92	115.32
-3.6	-6.82	171.94	182.59
-3.6	-7.42	387.21	528.44
-3.6	-8.09	131.85	117.02
-3.6	-8.69	59.63	-52.08
-3.6	-9.29	-52.31	-145.67
-3.6	-9.89	-62.06	-206.23
-3.6	-10.49	-58.41	-237.09
-3.6	-11.09	-44.66	-238.98
-3.6	-11.69	-20.53	-212.25
-3.6	-12.29	17.27	-161.04
-3.6	-12.89	74.20	-86.37
-3.6	-13.49	163.42	-35.21
-3.6	-14.38	635.09	715.81
-3.6	-14.69	406.71	319.45
-3.6	-15.29	178.62	140.04
-3.6	-15.89	91.99	69.11
-3.6	3.8	-37.88	34.67
-3.6	3.38	36.05	-35.50
-3.13	3.38	-36.54	-60.14
-3.13	3.8	16.49	14.65
-3.6	2.71	-52.58	-119.92
-3.13	2.71	-63.56	-133.49
-3.6	2.11	-82.06	-141.41
-3.13	2.11	-86.23	-158.78
-3.6	1.51	-102.53	-125.04
-3.13	1.51	-102.80	-136.60
-3.13	0.61	-98.89	-45.38
-3.13	0	-67.80	64.02
-3.13	-0.47	-39.97	102.47
-3.13	-0.89	-64.03	133.77
-3.13	-1.49	-48.42	58.95
-3.13	-2.09	-37.99	-80.00
-3.13	-2.69	-25.39	-128.62
-3.13	-3.29	-7.52	-151.84
-3.13	-3.89	30.17	-134.27
-3.13	-4.49	63.02	-60.23
-3.13	-5.09	100.91	99.12
-3.13	-5.43	88.81	174.98
-3.13	-6.29	142.79	189.52
-3.13	-6.82	148.13	263.36
-3.13	-7.42	73.60	343.62
-3.13	-8.09	79.02	157.88
-3.13	-8.69	52.47	-31.45
-3.13	-9.29	-37.57	-140.43
-3.13	-9.89	-52.69	-210.07
-3.13	-10.49	-54.34	-245.57
-3.13	-11.09	-45.87	-250.60
-3.13	-11.69	-28.57	-227.27
-3.13	-12.29	24.70	-176.35
-3.13	-12.89	72.72	-105.72
-3.13	-13.49	178.77	114.50
-3.13	-14.38	139.57	408.03
-3.13	-14.69	255.20	407.58
-3.13	-15.29	193.40	211.31
-3.13	-15.89	101.85	108.87
-2.53	3.38	-35.63	-81.18
-2.53	3.8	21.08	20.26
-2.53	2.71	-58.57	-149.36
-2.53	2.11	-70.55	-172.37
-2.53	1.51	-78.33	-144.62
-2.53	0.61	-65.77	70.41
-2.53	0	-35.01	102.13
-2.53	-0.47	-19.97	105.35
-2.53	-0.89	-20.12	98.57
-2.53	-1.49	-18.78	47.40
-2.53	-2.09	0.58	-43.36
-2.53	-2.69	16.53	-119.41
-2.53	-3.29	27.46	-151.32
-2.53	-3.89	40.20	-131.82
-2.53	-4.49	49.77	-54.20
-2.53	-5.09	51.91	66.96
-2.53	-5.43	68.90	128.58
-2.53	-6.29	91.07	219.92
-2.53	-6.82	62.36	269.07
-2.53	-7.42	25.44	281.53
-2.53	-8.09	34.89	185.17
-2.53	-8.69	49.31	41.40
-2.53	-9.29	37.84	-134.38
-2.53	-9.89	-42.04	-211.44
-2.53	-10.49	-48.23	-251.36
-2.53	-11.09	-46.27	-258.80
-2.53	-11.69	-38.32	-236.41
-2.53	-12.29	-27.08	-186.25
-2.53	-12.89	38.23	-104.20
-2.53	-13.49	34.13	86.71
-2.53	-14.38	-31.47	237.89
-2.53	-14.69	-74.50	285.62
-2.53	-15.29	92.15	238.21
-2.53	-15.89	64.43	152.87
-1.93	3.38	-28.73	-88.69
-1.93	3.8	25.23	-21.81
-1.93	2.71	-41.92	-155.54
-1.93	2.11	41.43	-176.45
-1.93	1.51	92.87	-150.34
-1.93	0.61	124.32	135.44
-1.93	0	107.81	160.32
-1.93	-0.47	94.59	132.69
-1.93	-0.89	85.81	109.94
-1.93	-1.49	67.29	62.90
-1.93	-2.09	66.09	-28.40
-1.93	-2.69	63.17	-122.66
-1.93	-3.29	51.52	-157.86
-1.93	-3.89	52.22	-139.71
-1.93	-4.49	59.92	-69.06
-1.93	-5.09	101.75	71.85
-1.93	-5.43	95.52	143.97
-1.93	-6.29	127.94	214.47
-1.93	-6.82	139.35	314.08
-1.93	-7.42	64.81	355.43
-1.93	-8.09	105.02	220.86
-1.93	-8.69	74.22	53.85
-1.93	-9.29	49.90	-131.02
-1.93	-9.89	-30.63	-210.83
-1.93	-10.49	-40.38	-253.33
-1.93	-11.09	-43.23	-261.68
-1.93	-11.69	-41.59	-237.87
-1.93	-12.29	-39.53	-182.07
-1.93	-12.89	-41.54	-92.43
-1.93	-13.49	-42.19	26.96
-1.93	-14.38	-90.35	182.08
-1.93	-14.69	-108.27	217.73
-1.93	-15.29	-104.56	221.27
-1.93	-15.89	-77.19	177.54
-1.52	3.38	-23.53	-88.92
-1.52	3.8	23.98	-21.37
-1.52	2.71	-28.78	-152.93
-1.52	2.11	36.06	-163.55
-1.52	1.51	75.95	-146.16
-1.52	0.61	255.76	167.05
-1.52	0	271.49	224.93
-1.52	-0.47	217.07	170.11
-1.52	-0.89	183.80	137.76
-1.52	-1.49	161.85	94.01
-1.52	-2.09	129.36	14.81
-1.52	-2.69	72.20	-118.60
-1.52	-3.29	56.70	-155.10
-1.52	-3.89	56.86	-144.98
-1.52	-4.49	68.99	-84.32
-1.52	-5.09	128.09	35.25
-1.52	-5.43	208.39	194.61
-1.52	-6.29	156.29	200.72
-1.52	-6.82	187.15	308.36
-1.52	-7.42	237.12	485.82
-1.52	-8.09	140.99	206.43
-1.52	-8.69	92.32	53.84
-1.52	-9.29	57.60	-127.68
-1.52	-9.89	32.11	-208.49
-1.52	-10.49	-32.54	-252.28
-1.52	-11.09	-37.22	-261.10
-1.53	-11.69	-36.32	-235.60
-1.53	-12.29	-32.96	-175.75
-1.53	-12.89	-41.82	-94.25
-1.53	-13.49	-70.06	31.77
-1.53	-14.38	-101.51	170.77
-1.53	-14.69	-107.51	200.01
-1.53	-15.29	-94.88	211.42
-1.53	-15.89	-68.15	185.09
-0.72	2.71	-16.92	-142.38
-0.72	3.38	-16.34	-84.08
-0.72	2.11	14.06	-145.40
-0.72	1.51	34.47	-88.20
-0.72	0.61	55.41	75.99
-0.72	0	89.59	175.49
-0.72	-0.47	95.80	181.59
-0.72	-0.89	91.27	149.83
-0.72	-1.49	72.06	84.44
-0.73	-2.09	56.11	-6.49
-0.73	-2.69	55.26	-90.30
-0.73	-3.29	49.41	-146.57
-0.73	-3.89	48.46	-147.32
-0.73	-4.49	56.00	-99.78
-0.73	-5.09	56.56	11.10
-0.73	-5.43	64.54	66.07
-0.73	-6.29	155.49	213.20
-0.73	-6.82	188.97	315.14
-0.73	-7.42	238.88	535.71
-0.73	-8.09	148.55	210.67
-0.73	-8.69	101.78	44.13
-0.73	-9.29	64.07	-115.44
-0.73	-9.89	35.62	-202.04
-0.73	-10.49	-16.63	-249.68
-0.73	-11.09	-22.57	-261.19
-0.73	-11.69	-19.06	-237.75
-0.73	-12.29	-23.95	-197.41
-0.73	-12.89	-38.22	-138.81
-0.73	-13.49	-58.60	-56.80
-0.73	-14.38	-60.82	184.89
-0.73	-14.69	-45.28	209.04
-0.73	-15.29	51.21	219.06
-0.73	-15.89	65.01	201.62
0	2.71	-15.96	-131.72
0	3.38	-12.99	-76.96
0	2.11	-11.44	-131.99
0	1.51	-8.02	-91.85
0	0.61	26.19	28.18
0	0	92.43	143.10
0	-0.47	132.04	202.86
0	-0.89	122.69	164.82
0	-1.49	106.32	99.08
0	-2.09	82.94	13.78
0	-2.69	44.91	-89.79
0	-3.29	33.38	-136.26
0	-3.89	28.94	-140.47
0	-4.49	26.70	-99.94
0	-5.09	30.71	-28.18
0	-5.43	51.06	30.88
0	-6.29	101.34	191.62
0	-6.82	132.16	320.27
0	-7.42	171.44	498.57
0	-8.09	129.05	238.50
0	-8.69	87.60	45.43
0	-9.29	58.64	-99.96
0	-9.89	33.13	-192.98
0	-10.49	13.48	-245.28
0	-11.09	-8.89	-261.56
0	-11.69	-4.45	-245.75
0	-12.29	17.87	-214.55
0	-12.89	60.73	-163.27
0	-13.49	136.34	-77.39
0	-14.38	168.48	251.59
0	-14.69	154.03	259.36
0	-15.29	177.26	241.43
0	-15.89	201.03	207.40
0.7	2.71	-18.19	-128.34
0.7	3.38	-11.09	-72.94
0.7	2.11	-18.76	-130.64
0.7	1.51	-13.37	-93.67
0.7	0.61	11.65	22.50
0.7	0	21.67	124.46
0.7	-2.69	39.29	-84.92
0.7	-2.09	42.79	2.63
0.7	-3.29	28.01	-133.56
0.7	-3.89	20.03	-136.35
0.7	-4.49	19.06	-101.22
0.7	-5.09	29.09	-35.93
0.7	-5.43	39.95	18.39
0.7	-6.29	81.94	182.90
0.7	-6.82	111.71	315.54
0.7	-7.42	153.36	485.48
0.7	-8.09	111.49	235.28
0.7	-8.69	82.30	50.74
0.7	-9.29	53.70	-90.67
0.7	-9.89	28.78	-185.13
0.7	-10.49	10.85	-240.14
0.7	-11.09	1.91	-260.74
0.7	-11.69	3.83	-250.54
0.7	-12.29	19.82	-212.21
0.7	-12.89	56.74	-145.29
0.7	-13.49	123.13	-74.25
0.7	-14.38	430.78	294.14
0.7	-14.69	491.30	383.91
0.7	-15.29	434.36	292.16
0.7	-15.89	381.63	232.10
1.08	2.71	-18.24	-130.39
1.08	3.38	-13.72	-76.08
1.08	2.11	-15.55	-130.25
1.08	1.51	-9.98	-91.35
1.08	0.61	15.72	22.50
1.08	0	37.92	125.59
1.08	-2.69	40.94	-85.23
1.08	-2.09	55.37	6.19
1.08	-3.29	33.00	-137.28
1.08	-3.89	27.33	-141.27
1.08	-4.49	25.55	-103.94
1.08	-5.09	31.53	-34.30
1.08	-5.43	39.64	17.56
1.08	-6.29	85.41	182.03
1.08	-6.82	116.80	315.67
1.08	-7.42	159.36	490.44
1.08	-8.09	121.24	240.37
1.08	-8.69	86.09	50.46
1.08	-9.29	54.99	-90.98
1.08	-9.89	29.78	-185.28
1.08	-10.49	10.75	-239.19
1.08	-11.09	0.24	-258.27
1.08	-11.69	5.05	-251.29
1.08	-12.29	25.38	-217.77
1.08	-12.89	67.64	-162.64
1.08	-13.49	163.95	-83.82
1.08	-14.38	268.79	288.58
1.07	-14.69	266.31	302.14
1.07	-15.29	296.70	274.85
1.07	-15.89	291.38	219.21
1.4	2.71	-17.80	-134.22
1.4	3.38	-15.88	-79.75
1.4	2.11	-10.39	-131.91
1.4	1.51	-5.16	-89.78
1.4	0.61	28.05	30.72
1.4	0	94.25	143.27
1.4	-2.69	48.25	-93.37
1.4	-2.09	83.39	10.77
1.4	-3.29	39.66	-141.06
1.4	-3.89	36.55	-145.86
1.4	-4.49	34.95	-105.20
1.4	-5.09	35.51	-29.74
1.4	-5.43	49.58	26.70
1.4	-6.29	101.55	189.51
1.4	-6.82	134.07	320.02
1.4	-7.42	173.58	501.79
1.4	-8.09	135.14	242.66
1.4	-8.69	89.83	46.05
1.4	-9.29	60.53	-96.47
1.4	-9.89	34.32	-189.65
1.4	-10.49	14.00	-241.90
1.4	-11.09	-3.03	-258.13
1.4	-11.69	-4.99	-248.85
1.4	-12.29	24.54	-218.74
1.4	-12.89	68.86	-167.19
1.4	-13.49	132.95	-80.80
1.4	-14.38	178.11	246.30
1.4	-14.69	170.91	264.60
1.4	-15.29	182.04	244.65
1.4	-15.89	201.44	209.36
2.28	2.71	-19.08	-147.47
2.28	3.38	-19.41	-88.12
2.28	2.11	24.40	-151.90
2.28	1.51	46.00	-90.76
2.28	0.61	80.17	92.02
2.28	0	112.38	185.27
1.4	-0.47	137.82	205.73
2.28	-0.47	112.72	180.76
1.4	-0.89	126.07	166.85
2.28	-0.89	104.86	146.69
1.4	-1.49	107.46	98.07
2.28	-1.49	82.34	80.39
2.28	-2.09	64.09	-9.54
2.28	-2.69	65.11	-97.68
2.28	-3.29	60.45	-153.15
2.28	-3.89	61.26	-152.09
2.28	-4.49	71.59	-102.01
2.28	-5.09	75.69	23.60
2.28	-5.43	78.25	76.08
2.28	-6.29	168.06	213.83
2.28	-6.82	202.82	315.78
2.28	-8.09	163.50	214.95
2.28	-8.69	111.86	47.65
2.28	-9.29	70.64	-112.55
2.28	-9.89	40.54	-198.04
2.28	-10.49	18.09	-245.12
2.28	-11.09	-15.49	-256.31
2.28	-11.69	-13.09	-232.52
2.28	-12.29	-23.95	-194.87
2.28	-12.89	-41.41	-134.73
2.28	-13.49	-63.30	-54.15
2.28	-14.38	-71.70	179.31
2.28	-14.69	-60.05	201.59
2.28	-15.29	40.38	212.34
2.28	-15.89	50.13	194.13
2.93	2.71	-32.05	-157.47
2.93	3.37	-26.75	-94.06
2.93	2.12	43.78	-169.16
2.93	1.52	85.06	-153.22
2.93	0.62	269.49	170.91
2.93	0	283.87	228.08
2.93	-0.47	227.44	170.60
2.93	-0.89	192.39	136.67
2.93	-1.49	167.92	89.56
2.93	-2.09	135.04	9.23
2.93	-2.69	80.78	-123.89
2.93	-3.29	67.48	-160.10
2.93	-3.89	68.89	-148.78
2.93	-4.48	81.99	-88.42
2.93	-5.08	135.48	30.19
2.93	-5.42	215.30	192.66
2.93	-6.28	167.07	201.76
2.93	-6.82	200.58	315.31
2.93	-7.42	241.09	495.56
2.93	-8.08	158.72	221.40
2.93	-8.68	104.77	63.20
2.93	-9.28	67.80	-120.53
2.93	-9.88	40.63	-201.97
2.93	-10.49	20.57	-247.06
2.93	-11.08	-25.17	-256.46
2.93	-11.68	-24.64	-232.61
2.93	-12.28	-21.87	-174.34
2.92	-12.88	-33.44	-96.92
2.92	-13.48	-61.53	29.33
2.92	-14.37	-93.96	167.32
2.92	-14.68	-100.27	197.51
2.92	-15.28	-88.58	209.03
2.92	-15.88	-61.11	181.64
2.93	3.8	27.69	-25.01
3.48	3.38	-35.09	-91.33
3.48	3.8	27.86	-24.59
3.48	2.71	-50.02	-159.26
3.48	2.11	-49.63	-182.35
3.48	1.51	93.19	-154.46
3.48	0.61	102.63	123.58
3.48	0	82.40	145.83
3.48	-0.47	72.06	124.23
3.48	-0.89	67.50	102.78
3.48	-1.49	51.99	50.57
3.48	-2.09	58.28	-40.36
3.48	-2.69	64.99	-127.88
3.48	-3.29	60.18	-161.94
3.48	-3.89	64.28	-141.75
3.48	-4.49	69.04	-64.64
3.48	-5.09	96.50	72.84
3.48	-5.43	86.87	134.23
3.48	-6.29	126.95	222.07
3.48	-6.82	128.18	314.51
3.48	-7.43	47.31	331.90
3.48	-8.09	101.17	228.95
3.48	-8.69	81.64	62.20
3.48	-9.29	59.37	-123.96
3.48	-9.89	38.10	-203.83
3.48	-10.49	-27.26	-246.64
3.48	-11.09	-29.21	-255.75
3.48	-11.69	-27.00	-233.49
3.48	-12.29	-24.50	-180.19
3.48	-12.89	-26.88	-92.53
3.48	-13.49	-28.32	36.44
3.48	-14.38	-72.14	188.99
3.48	-14.69	-94.52	225.45
3.48	-15.29	-91.14	220.47
3.48	-15.89	-63.45	166.49
4.08	3.38	-42.36	-80.40
4.08	3.8	21.49	23.33
4.08	2.71	-67.54	-151.08
4.08	2.11	-80.93	-176.76
4.08	1.51	-90.10	-150.78
4.08	0.61	-75.95	61.06
4.08	0	-43.07	92.29
4.08	-0.47	-25.93	101.13
4.08	-0.89	-28.19	99.24
4.08	-1.49	-21.45	45.63
4.08	-2.09	8.95	-57.39
4.08	-2.69	20.05	-123.97
4.08	-3.29	35.64	-154.10
4.08	-3.89	53.84	-134.28
4.08	-4.49	70.23	-56.88
4.08	-5.09	63.72	70.64
4.08	-5.43	80.11	133.90
4.08	-6.29	106.23	220.84
4.08	-6.82	73.32	265.76
4.08	-7.43	44.91	295.61
4.08	-8.09	46.75	189.05
4.08	-8.69	61.65	46.61
4.08	-9.29	49.76	-125.53
4.08	-9.89	32.59	-202.30
4.08	-10.49	-31.11	-242.60
4.08	-11.09	-27.50	-251.10
4.08	-11.69	-17.88	-230.36
4.08	-12.29	33.64	-182.55
4.08	-12.89	64.69	-105.07
4.08	-13.49	75.88	98.81
4.08	-14.38	47.88	260.01
4.08	-14.69	99.99	308.43
4.08	-15.29	126.66	233.43
4.08	-15.89	85.00	136.55
4.68	3.38	-39.61	-51.65
4.68	3.8	16.38	17.94
4.68	2.71	-68.98	-135.62
4.68	2.11	-93.88	-163.42
4.68	1.51	-110.95	-144.24
4.68	0.61	-105.65	-60.74
4.68	0	-69.50	59.10
4.68	-0.47	-21.77	94.55
4.68	-0.89	-42.69	155.70
4.68	-1.49	-36.02	52.82
4.68	-2.09	-30.76	-93.38
4.68	-2.69	-17.99	-138.99
4.68	-3.29	18.93	-158.68
4.68	-3.89	45.51	-138.05
4.68	-4.49	85.23	-63.88
4.68	-5.09	145.24	111.65
4.68	-5.43	129.38	202.47
4.68	-6.29	168.27	181.53
4.68	-6.82	192.13	266.93
4.68	-7.43	136.18	394.29
4.68	-8.09	111.47	159.72
4.68	-8.69	71.57	28.13
4.68	-9.29	44.48	-129.07
4.68	-9.89	-33.21	-198.02
4.68	-10.49	-32.66	-234.27
4.68	-11.09	-22.55	-240.75
4.68	-11.69	19.16	-219.03
4.68	-12.29	41.70	-169.21
4.68	-12.89	90.11	-99.33
4.68	-13.49	220.21	98.37
4.68	-14.38	238.15	478.12
4.68	-14.69	332.26	415.17
4.68	-15.29	220.88	189.86
4.68	-15.89	116.50	88.82
5	3.38	41.90	-26.29
5	3.8	-32.19	31.30
5	2.71	-59.89	-127.19
5	2.11	-89.04	-149.20
5	1.51	-109.12	-134.82
5	0.61	-114.82	-66.90
5	0	-88.76	60.15
5	-0.47	31.57	94.25
5	-0.89	132.97	248.34
5	-1.49	-31.85	-40.77
5	-2.09	-47.39	-102.91
5	-2.69	-40.23	-154.82
5	-3.29	22.30	-174.59
5	-3.89	53.13	-155.77
5	-4.49	100.23	-89.68
5	-5.09	199.92	76.98
5	-5.43	310.63	315.34
5	-6.29	147.48	123.24
5	-6.82	193.13	200.79
5	-7.43	395.65	537.25
5	-8.09	150.96	135.36
5	-8.69	79.81	43.35
5	-9.29	42.10	-131.28
5	-9.89	-36.58	-193.37
5	-10.49	-31.90	-226.60
5	-11.09	-18.10	-231.09
5	-11.69	12.21	-206.76
5	-12.29	42.16	-162.93
5	-12.89	100.27	-90.94
5	-13.49	184.27	-32.83
5	-14.38	643.72	708.22
5	-14.69	421.15	320.78
5	-15.29	190.44	130.41
5	-15.89	103.11	57.02
5.88	0	-136.95	81.10
5.88	0.61	-117.42	-49.41
5.88	-0.47	-160.19	145.19
5.88	-0.89	-173.41	116.56
5.88	-1.49	-106.78	48.26
5.88	-2.09	-95.34	-126.11
5.88	-2.69	-86.28	-180.60
5.88	-3.29	-72.90	-199.92
5.88	-3.89	-56.11	-182.26
5.88	-4.49	57.35	-120.92
5.88	-5.09	55.32	89.36
5.88	-5.43	-34.49	88.72
5.88	-6.29	61.97	176.64
5.88	-6.82	29.72	214.12
5.88	-7.43	-96.34	265.06
5.88	-8.09	71.97	218.11
5.88	-8.69	-58.62	61.10
5.88	-9.29	-51.75	-114.83
5.88	-9.89	-43.09	-172.04
5.88	-10.49	-30.99	-202.93
5.88	-11.09	-13.57	-205.01
5.88	-11.69	10.99	-196.45
5.88	-12.29	45.00	-161.71
5.88	-12.89	94.31	-103.71
5.88	-13.49	161.30	173.79
5.88	-14.38	-32.96	261.79
5.88	-14.69	102.14	307.81
5.88	-15.29	117.86	170.34
5.88	-15.89	75.53	70.61
6.48	0	-107.92	97.09
6.48	0.61	-80.39	-14.12
6.48	-0.47	-154.55	151.39
6.48	-0.89	-155.13	150.42
6.48	-1.49	-144.26	-76.47
6.48	-2.09	-121.40	-149.21
6.48	-2.69	-108.28	-199.13
6.48	-3.29	-98.74	-214.37
6.48	-3.89	-89.59	-192.40
6.48	-4.49	-80.35	-127.77
6.48	-5.09	-64.01	-30.58
6.48	-5.43	-45.00	35.24
6.48	-6.29	-80.71	170.05
6.48	-6.82	-100.86	226.06
6.48	-7.43	-106.52	234.67
6.48	-8.09	-101.56	172.43
6.48	-8.69	-70.82	60.07
6.48	-9.29	-49.40	-88.61
6.48	-9.89	-37.46	-151.20
6.48	-10.49	-25.99	-184.00
6.48	-11.09	-23.73	-199.22
6.48	-11.69	-24.38	-190.52
6.48	-12.29	29.30	-151.31
6.48	-12.89	45.36	-75.78
6.48	-13.49	-54.25	117.69
6.48	-14.38	-39.26	196.13
6.48	-14.69	-29.92	181.27
6.48	-15.29	-23.81	150.37
6.48	-15.89	30.04	76.10
7.08	0	-19.11	129.50
7.08	0.61	-23.96	17.20
7.08	-0.47	75.99	269.73
7.08	-0.89	-88.63	191.11
7.08	-1.49	-110.73	-95.83
7.08	-2.09	-111.89	-170.28
7.08	-2.69	-109.19	-212.77
7.08	-3.29	-105.95	-223.45
7.08	-3.89	-99.93	-199.97
7.08	-4.49	-86.63	-142.13
7.08	-5.09	-62.00	-57.20
7.08	-5.43	-67.03	-22.38
7.08	-6.29	-99.51	167.12
7.08	-6.82	-122.82	249.74
7.08	-7.43	-97.78	250.41
7.08	-8.09	-59.44	157.52
7.08	-8.69	-29.78	38.89
7.08	-9.29	-24.41	-65.64
7.08	-9.89	-23.71	-133.76
7.08	-10.49	-27.11	-176.87
7.08	-11.09	-30.63	-194.33
7.08	-11.69	-31.46	-183.01
7.08	-12.29	-29.45	-138.97
7.08	-12.89	-26.92	-55.33
7.08	-13.49	-34.22	77.41
7.08	-14.38	-43.60	169.79
7.08	-14.69	-47.05	171.80
7.08	-15.29	-22.85	119.34
7.08	-15.89	-15.18	56.35
7.68	0	104.47	190.93
7.68	0.61	39.07	43.25
7.68	-0.47	182.40	371.79
7.68	-0.89	161.06	222.21
7.68	-1.49	110.50	-90.99
7.68	-2.09	-76.04	-174.39
7.68	-2.69	-91.98	-217.20
7.68	-3.29	-98.15	-228.03
7.68	-3.89	-95.00	-207.87
7.68	-4.49	-80.35	-158.15
7.68	-5.09	-52.61	-83.63
7.68	-5.43	-54.81	-56.36
7.68	-6.29	60.37	139.02
7.68	-6.82	115.94	306.01
7.68	-7.43	-62.76	332.14
7.68	-8.09	79.45	221.20
7.68	-8.69	39.53	42.41
7.68	-9.29	4.73	-67.88
7.68	-9.89	-16.82	-131.76
7.68	-10.49	-26.73	-172.89
7.68	-11.09	-32.50	-189.00
7.68	-11.69	-32.69	-177.76
7.68	-12.29	-25.00	-136.20
7.68	-12.89	19.71	-62.44
7.68	-13.49	43.34	77.52
7.68	-14.38	-27.72	203.93
7.68	-14.69	52.98	227.84
7.68	-15.29	44.32	111.08
7.68	-15.89	11.61	33.27
0.7	-0.47	26.32	159.23
0.7	-0.89	42.39	147.64
0.7	-1.49	47.57	85.17
1.08	-0.47	61.83	177.92
1.08	-0.89	73.07	158.27
1.08	-1.49	67.43	90.61
-0.72	3.8	14.84	-18.19
0	3.8	-4.78	-12.99
0.7	3.8	-2.37	-9.46
1.08	3.8	-5.34	-12.61
1.4	3.8	-7.89	-15.91
2.28	3.8	19.13	-21.64
-10.93	0	188.75	-15.38
-10.93	-0.47	174.38	25.16
